id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
410219,Robyn,,Tower Hamlets,51.53211541,-0.019845363,Entire home/apt,214,14,0,,,1,365
4805715,Akil,,Westminster,51.51865797,-0.162809834,Entire home/apt,125,2,2,2015/2/15,0.6,1,92
5490780,Ieva,,Tower Hamlets,51.52637414,-0.04836206,Private room,25,1,0,,,1,17
5458251,David And Helen,,Westminster,51.51382458,-0.163053087,Entire home/apt,177,3,0,,,26,359
5743467,Jona,,Westminster,51.51594035,-0.190898086,Entire home/apt,115,1,0,,,1,0
5235831,Petra,,Camden,51.5300541,-0.120969762,Entire home/apt,350,2,0,,,106,343
471228,James,,Merton,51.41046824,-0.214836939,Private room,31,3,57,2015/2/13,1.7,2,343
989708,Olga,,Westminster,51.52002615,-0.194010702,Entire home/apt,100,4,11,2015/3/26,0.6,7,346
390156,Alvin,,Tower Hamlets,51.52139823,-0.052237744,Entire home/apt,90,3,6,2015/3/4,0.2,1,258
1247593,Deeann,,Islington,51.53788399,-0.086660831,Private room,69,1,20,2014/12/12,0.9,2,303
4442679,Katie,,Wandsworth,51.44771583,-0.201677842,Entire home/apt,99,1,0,,,1,135
5055558,Lydia,,Newham,51.54807921,0.061139164,Entire home/apt,55,2,4,2015/3/26,4,4,365
2993844,Bita,,Camden,51.52754338,-0.13377124,Entire home/apt,67,2,9,2015/3/26,1,2,127
533455,Nicola,,Lewisham,51.44510938,-0.046828618,Private room,45,3,0,,,1,365
1253498,Gigi,,Islington,51.52598472,-0.092552969,Private room,80,1,0,,,1,365
4356007,Lucy,,Kingston upon Thames,51.41474554,-0.289594283,Entire home/apt,325,2,0,,,1,195
1255136,Helen,,Westminster,51.52475472,-0.193757045,Entire home/apt,120,1,30,2014/6/28,1.4,1,350
5083663,Gabi,,Lambeth,51.47052168,-0.111599649,Private room,45,2,0,,,3,309
638155,Claire,,Lambeth,51.42535605,-0.12268168,Private room,40,1,0,,,1,365
978057,Mark,,Lambeth,51.47906024,-0.107474827,Entire home/apt,150,1,5,2014/6/10,0.2,1,111
97506,Keith,,Lambeth,51.42874636,-0.120557507,Private room,35,2,24,2014/12/9,0.5,1,333
1015806,Maral,,Southwark,51.49424014,-0.040954423,Entire home/apt,95,4,22,2015/3/24,1.2,4,243
4757784,Ellie,,Southwark,51.47112212,-0.060383943,Entire home/apt,90,1,0,,,1,337
4208080,Endre,,Kensington and Chelsea,51.50990162,-0.192824576,Entire home/apt,125,5,0,,,1,201
3997363,Kelley,,Kensington and Chelsea,51.50980451,-0.19709454,Entire home/apt,96,2,0,,,1,201
1854970,Mo,,City of London,51.51884555,-0.103873853,Entire home/apt,100,1,5,2013/12/16,0.3,1,365
746617,Yas,,Westminster,51.51485177,-0.140696522,Entire home/apt,109,1,95,2015/4/2,3.5,3,236
3398862,Roberto,,Westminster,51.50736914,-0.137027948,Entire home/apt,175,1,7,2015/3/4,1,1,263
3882365,Elizabeth,,Westminster,51.5281559,-0.191417263,Entire home/apt,150,3,4,2015/1/23,0.6,32,258
4027546,Felix,,Westminster,51.5300166,-0.201357071,Entire home/apt,110,3,29,2015/3/16,4.1,1,247
4790940,Andrei,,Camden,51.53994608,-0.143272196,Private room,70,1,7,2015/4/1,2.1,5,287
1150556,Lizzie,,Islington,51.52525432,-0.09607158,Entire home/apt,150,2,10,2014/9/25,0.4,2,220
5830313,Nina,,Hammersmith and Fulham,51.49980802,-0.228609413,Private room,45,1,0,,,2,362
4247005,Gabriella And Luciano,,Hackney,51.5646267,-0.070465908,Private room,50,2,0,,,2,365
5341807,Jul,,Westminster,51.49275502,-0.140222039,Entire home/apt,90,1,1,2015/3/19,1,1,72
569989,Eleanor,,Hackney,51.54739429,-0.037097141,Private room,35,1,55,2015/3/15,1.7,1,307
585176,Chris,,Merton,51.42189022,-0.171841244,Private room,38,1,97,2015/3/17,3.1,1,269
1211486,Jane,,Hackney,51.55356205,-0.044821944,Private room,35,1,7,2015/1/29,0.6,2,354
632672,Donovan,,Hackney,51.53213482,-0.088823334,Private room,58,1,113,2015/4/4,3.8,2,361
1970255,Carmen,,Hackney,51.53391083,-0.071798308,Entire home/apt,140,3,1,2014/4/19,0.1,1,365
586585,Julia & Adam,,Hackney,51.52525409,-0.081654347,Entire home/apt,155,3,8,2014/8/6,0.3,1,365
1551403,Monika,,Haringey,51.58087637,-0.117492906,Entire home/apt,90,2,6,2014/8/26,0.4,1,291
945424,Emma,,Haringey,51.5890552,-0.081731532,Entire home/apt,80,2,35,2015/3/25,1.5,1,223
558185,Zoe,,Hackney,51.54582526,-0.072753614,Private room,50,1,43,2015/1/11,2.9,3,308
5327653,Katherine,,Ealing,51.51059308,-0.3132186,Entire home/apt,56,2,5,2015/4/6,4.1,1,77
5178413,Erika,,Brent,51.56031948,-0.301919592,Entire home/apt,69,2,0,,,4,284
3448962,Laila,,Lambeth,51.46309928,-0.112790324,Private room,49,1,27,2015/4/4,6.4,1,118
